# time(days) eclipse_dt(seconds) gw_freq(hertz)
2.455093559644481957e+03 -1.183432374519179575e+03 4.821752909425065965e-03
2.465218735054466833e+03 -1.193213809642475098e+03 4.821753131318305859e-03
2.476477766383189191e+03 -1.204137878968322184e+03 4.821753378060044878e-03
2.490463782010671821e+03 -1.217777126451255754e+03 4.821753684563724954e-03
2.500066773370539522e+03 -1.227186497798538767e+03 4.821753895013423420e-03
2.511210962603915050e+03 -1.238151388433470856e+03 4.821754139238537511e-03
2.519028624817406580e+03 -1.245872377243358642e+03 4.821754310562778763e-03
2.528345776484355611e+03 -1.255105657901731320e+03 4.821754514748392492e-03
2.536747976972432298e+03 -1.263461454902426340e+03 4.821754698882855378e-03
2.543500677274617829e+03 -1.270196954242419451e+03 4.821754846868493011e-03
2.552429964018993815e+03 -1.279130988816905301e+03 4.821755042554116966e-03
2.562465289799582933e+03 -1.289209017112443689e+03 4.821755262478659085e-03
2.572584698041309366e+03 -1.299411529792996589e+03 4.821755484245907747e-03
2.580962363138836736e+03 -1.307888420633389615e+03 4.821755667842811920e-03
2.587975144775248737e+03 -1.315005453230696730e+03 4.821755821528254764e-03
2.597973636927888492e+03 -1.325185976106149610e+03 4.821756040645715918e-03
2.608138403480855686e+03 -1.335576041282911319e+03 4.821756263407125064e-03
2.619279152348475691e+03 -1.347010324048460461e+03 4.821756507557284355e-03
2.624247743724703923e+03 -1.352125541876011994e+03 4.821756616444267986e-03
2.633622086678880805e+03 -1.361802926842938177e+03 4.821756821883590657e-03
2.641723705792183864e+03 -1.370194243415608071e+03 4.821756999431115950e-03
2.648972568037629571e+03 -1.377724157679767814e+03 4.821757158290437481e-03
2.657784416054899793e+03 -1.386905444397416431e+03 4.821757351402724927e-03
2.667556176119348947e+03 -1.397122541864519008e+03 4.821757565551591102e-03
2.676306719755008544e+03 -1.406303704778838437e+03 4.821757757320448839e-03
2.686357558400289690e+03 -1.416886253132543061e+03 4.821757977585410491e-03
2.697497642595817979e+03 -1.428662019858893473e+03 4.821758221721321631e-03
2.706740450417487409e+03 -1.438469236092350911e+03 4.821758424278290225e-03
2.721195769565177670e+03 -1.453874522389378399e+03 4.821758741067978457e-03
